id_picto	lemma	level
10218	banane	1
4716	petit	1
7799	pouce	1
35571	peur	1
5892	loup	1
38286	se promener	1
7032	ils	2
4642	se cacher	1
37850	vite	1
8476	le	2
7028	elle	2
6989	mettre	1
6480	il	2
12276	ses	2
2287	bottes	1
2886	noir	1
10276	qui	2
11712	du	2
5504	pas d'accord	1
7186	nous	2
11709	au	2
8477	les	2
16315	couloir	1
12272	son	2
27073	son	1
17284	mouchoir	1
32669	venir	1
6564	voir	1
3021	a	1
26901	pas	1
34483	violet	1
36480	être	1
37721	aimer	1
37825	je n'aime pas ça	1
7307	vous	2
7179	ne pas aimer	1
5526	non	1
12264	mon	2
24256	poil	1
6632	me	2
26455	doux	1
6632	moi	2
37182	je ne suis pas d'accord	1
2982	paysan	1
6036	trou	1
12266	mes	2
8533	chasser	1
7074	de	2
2600	tracteur	1
32526	méchant	1
7120	hurler	1
2627	un	1
8618	fou	1
6572	entendre	1
7125	vers	2
8979	faire peur	1
36682	applaudir	1
6552	crier	1
5596	tout	1
6557	mardi	1
6549	se lever	1
38413	manger	1
2494	pain	1
34777	laver le visage	1
8977	laver	1
16378	président	1
6889	eau	1
22106	se sécher	1
6627	habiller	1
8142	aller	1
8197	puits	1
38586	village	1
38805	remplir	1
35353	bassine	1
16437	se baisser	1
3402	tissu	1
6553	porter	1
5451	sur	1
2684	visage	1
2317	maison	1
7298	verser	1
32747	maintenant	1
3051	sapin	1
4887	vert	1
2886	bois	1
10234	gâteau	1
7194	pour	2
6625	toi	2
12281	ton	2
2988	noisette	1
2880	noix	1
2334	chocolat	1
11309	gui	1
3052	houx	1
5584	oui	1
11627	bon appétit	1
6975	enfants	1
2351	lapin	1
5441	vouloir	1
2619	carotte	1
2623	renard	1
2403	poule	1
12285	votre	2
3113	herbe	1
2945	hibou	1
2933	lune	1
3139	père noël	1
16807	arrive	1
2614	vin	1
6190	faire	1
5975	couper	1
3247	raisin	1
6632	je	2
7030	elles	2
3403	sécateurs	1
5521	beaucoup	1
7033	eux	2
11709	en	2
2349	goûter	1
2356	verre à pied	1
11316	nouveau	1
9001	il y a	1
10148	prendre	1
35597	chaleur	1
7252	soleil	1
26997	nuit	1
7034	dans	2
6934	tonneau	1
9840	demander	1
31967	informations	1
34377	respirer	1
2714	compter	1
2629	trois	1
28677	attendre	1
37374	minute	1
7280	apporter	1
29971	attestation de handicap	1
29714	rentrer à la maison	1
38476	salle de gym	1
3082	école	1
38276	aujourd'hui	1
35589	froid	1
2826	plage	1
3074	carnaval	1
2522	pyjama	1
2332	survêtement	1
2309	tee-shirt	1
13638	short	1
2242	manteau	1
2298	chaussettes	1
2270	maillot de bain	1
2411	casquette	1
5985	déguisement	1
36883	balance	1
3257	saladier	1
6625	tu	2
2741	entonnoir	1
2288	bouteille	1
16087	emploi	1
32320	détacher	1
3171	y	1
17273	écraser	1
11461	jus	1
12264	mon	2
23718	papy	1
8476	la	2
6624	travailler	1
6481	lui	2
22619	comment	2
5553	printemps	1
5077	feuille	1
36921	pousse	1
9142	vignes	1
10196	petite	1
7105	fleurs	1
37360	changer	1
5604	été	1
5375	là	1
3123	pluie	1
37436	risque chimique	1
7224	branche	1
4658	grand	1
2591	ciseaux	1
2689	portefeuille	1
32394	différent	1
2662	blanc	1
2808	rouge	1
2648	jaune	1
2888	orange	1
5531	automne	1
3296	veste	1
2725	seau	1
27329	fin de semaine	1
2924	coccinelle	1
8261	fin d'année	1
2425	fourmis	1
8061	escargot	1
3012	panier	1
5439	dedans	1
32404	station essence	1
28035	remorque	1
37064	fin	1
7022	journée	1
26459	sale	1
16435	décorer	1
5374	plusieurs	1
5968	couleur	1
25072	presser	1
5568	sortir	1
25560	sucre	1
32340	bon	1
27608	cave	1
32749	après	1
2807	rose	1
2246	huile	1
5605	vinaigre	1
25171	savon	1
5493	hiver	1
6903	année	1
5431	commencer	1
8989	réveiller	1
7202	chien	1
2369	dormir	1
7147	pleurer	1
13354	rire	1
6607	sauter	1
37952	jouer au ballon	1
7139	aboyer	1
6061	boire	1
6568	nager	1
4570	aider	1
4570	policier	1
6599	protéger	1
38351	famille	1
6988	collier	1
37790	aveugle	1
6987	collier du chien	1
7764	où	2
2273	bateau	1
6022	lac	1
2339	voiture	1
2299	rue	1
2264	avion	1
38270	ciel	1
21399	train	1
5520	montagne	1
2472	métro	1
7176	garçon	1
32845	fille	1
5921	toilettes	1
12274	leur	2
3242	porte-manteau	1
23392	jouer	1
2489	mouton	1
10282	marelle	1
11399	et	2
11351	que	2
6906	celle-là	2
16885	savoir	1
7180	je ne sais plus	1
2458	maman	1
2673	tête	1
37369	se souvenir	1
32442	vacances	1
4608	balançoire	1
2243	mamie	1
32761	avoir	1
8324	poney	1
27357	prénom	1
37371	jour	1
4667	même	1
4724	manège de poney	1
4757	manège	1
8237	grimper	1
33016	monter à cheval	1
31396	box	1
7280	amener	1
5449	au milieu	1
25459	selle	1
5451	dessus	1
2548	filet	1
4616	carré	1
9810	jeu	1
4644	étoile	1
2632	six	1
6594	pierre	1
17322	chaque fois	1
2502	gâteau	1
32392	pareil	1
8486	amie	1
8487	ami	1
35747	danser	1
22620	quoi	2
3220	plus	1
32592	geste	1
11355	bizarre	1
38000	chanson	1
37663	prendre une photo	1
7107	photo	1
13354	sourire	1
36758	à côté	1
37045	préau	1
38464	spectacle	1
36073	lever	1
9034	lever le doigt	1
3298	doigt	1
5441	envie	1
36911	envier	1
6611	asseoir	1
36081	tout le monde	1
2456	maîtresse	1
2457	maître	1
7247	servir	1
3255	banc	1
31146	papa	1
17040	donner	1
25381	cadeau	1
8983	porter	1
38713	porter dans les bras	1
2669	bras	1
2490	oiseau	1
2671	hibou	1
2465	papillon	1
38566	bravo	1
6006	tourner	1
10239	raton-laveur	1
10366	qu'est-ce que c'est ça	1
25815	écureuil	1
6901	animaux	1
6479	dormir	1
2294	cheval	1
6060	bébé	1
20115	page	1
9889	tourner la page	1
24731	combien	1
2627	un	1
3423	égal	1
2628	deux	1
28359	si	3
6044	marcher	1
35809	mal au pied	1
5484	blessure	1
6067	tomber	1
25708	trop	1
7095	celui-là	2
3057	arbre	1
2666	forêt	1
26176	plein	1
30620	avoir mal	1
32745	avant	1
16843	pauvre	1
6947	chercher	1
6564	regarder	1
33994	gentil	1
11194	beau	1
2730	fesses	1
3278	collant	1
37251	putois	1
7104	fleur	1
8172	mort	1
11306	monstre	1
29861	morte	1
2738	dinosaure	1
4700	mordre	1
6143	planche	1
4753	planche à voile	1
13630	ça va	1
11597	comment ça va	1
24998	continuer	1
26493	plonger	1
38792	rigoler	1
31148	mère	1
2497	père	1
6522	bonjour	1
6028	au revoir	1
35545	malheureux	1
2477	singe	1
17054	autre	1
37163	une autre fois	1
5504	mal	1
12313	comme	2
7180	je ne sais pas	1
38482	qu'est-ce que tu as fait	1
36381	faire tomber	1
4582	tombé	1
29674	tombée	1
6829	passer la balle	1
10154	laisser passer	1
31999	passer	1
5950	château	1
25640	bêtes	1
5563	roi	1
5559	reine	1
6965	marier	1
31947	sonner	1
3244	porte	1
3151	rose	1
11617	tu vois	1
11194	belle	1
11194	beau	1
2887	nez	1
2450	livre	1
8995	tomber amoureux	1
6531	inventer	1
5443	derrière	1
4665	homme	1
24621	femme	1
26368	refuser	1
8619	lumière	1
2570	fauteuil	1
5475	dehors	1
4588	prison	1
4725	prisonnier	1
2254	araignée	1
2258	armoire	1
37922	se regarder dans la glace	1
4611	déjeuner	1
10348	cuisinier	1
15712	cuisinière	1
16649	fête	1
30642	gronder	1
31015	s'enfuir	1
11474	libre	1
5946	voie	1
3302	guérir	1
38481	malade	1
32832	s'allonger	1
30117	médicament	1
6604	casser	1
8573	miroir	1
37373	se battre	1
2704	ville	1
3237	couteau	1
5555	prince	1
9091	tasse	1
7276	théière	1
3245	heureux	1
2540	puzzle	1
2372	éléphant	1
2324	zèbre	1
2568	serpent	1
37287	marcher dans l'eau	1
6246	voler	1
3316	flamant rose	1
27093	pièce	1
4630	argent	1
6457	acheter	1
9116	magasin	1
11348	parce que	2
32434	facile	1
32436	dur	1
24733	amusant	1
25133	gros	1
5437	en dessous	1
11752	refaire	1
5568	enlever	1
8583	pièce du puzzle	1
16823	montrer	1
6959	fatiguer	1
26022	quelle	1
22624	quelle	1
26022	quel	1
22624	quel	1
2343	crocodile	1
9693	dire	1
2928	main	1
9830	mains	1
26144	essayer	1
5935	boîte	1
2328	céréales	1
37029	souvent	1
13630	je vais bien	1
