clips	text
cefc-cfpb-1000-5-1198	c'est un des plats super de Bruxelles
cefc-cfpb-1000-5-111	j'ai fait mon service militaire
cefc-cfpb-1000-5-592	il y a pas eu la fête qu'il y avait
cefc-cfpb-1000-5-845	avant on on appelait les étudiants les sapins verts
cefc-cfpb-1000-5-313	et il part directement près du Rouge-Cloître
cefc-cfpb-1000-5-1762	euh laissez-moi cin dix minutes
cefc-cfpb-1000-5-340	et est-ce que tu as un nom pour ton quartier
cefc-cfpb-1000-5-761	enfin on peut pas dialoguer
cefc-cfpb-1000-5-888	monsieur le curé monsieur le curé » alors je dois lui euh euh
cefc-cfpb-1000-5-921	mais je veux bien venir avec un serrurier
cefc-cfpb-1000-5-891	c'est sympa
cefc-cfpb-1000-5-1284	beh ouais mais d'accord ouais
cefc-cfpb-1000-5-177	si les études
cefc-cfpb-1000-5-1025	ah bè c'est vraiment une chouette histoire
cefc-cfpb-1000-5-1433	et en plus bon je veux dire que regarde un peu quand tu tu m
cefc-cfpb-1000-5-479	je me vois bruxellois ouais
cefc-cfpb-1000-5-1355	ou on es va justement arrivé
cefc-cfpb-1000-5-339	ça c'est mon quartier
cefc-cfpb-1000-5-270	ou tu prends la voiture
cefc-cfpb-1000-5-219	et puis alors euh et il lui a dit voilà
cefc-cfpb-1000-5-1167	ouais c'est ma femme qui cuisine oui vraiment
cefc-cfpb-1000-5-992	on s'assied pas sur les tables
cefc-cfpb-1000-5-749	le quarante-et-un c'était un magasin de chaussures
cefc-cfpb-1000-5-654	donc euh forcément les pompiers on a pf euh un magasin quoi
cefc-cfpb-1000-5-991	comment les l dire
cefc-cfpb-1000-5-567	non c'est difficile
cefc-cfpb-1000-5-453	et là il y a une une vingtaine vingt-quatre étudiants
cefc-cfpb-1000-5-1159	content et heureux ouais
cefc-cfpb-1000-5-11	tu préfères le remplir au début ou à la fin
cefc-cfpb-1000-5-1381	il y a le le manque de de de de comment de rotations de bus par exemple ou même de métros le métro
cefc-cfpb-1000-5-341	ou est-ce que c'est c'est vraiment juste
cefc-cfpb-1000-5-831	ça fait assez bizarre parfois hein
cefc-cfpb-1000-5-1242	euh mh est-ce que tu penses que ton quartier est agréable pour des enfants parce que il serait bien aménagé ou ou justement vu que tu parlais tantôt des changements
cefc-cfpb-1000-5-207	en fait mon pap mon mon papa euh travaillait pour une société extérieure
cefc-cfpb-1000-5-789	mais comme euh il y a pas mal de personnes différentes de différentes origines
cefc-cfpb-1000-5-1829	tes potes dire ça tous tes tes collègues hein
cefc-cfpb-1000-5-1510	il faut vraiment passer dans le magasin ou bien recevoir le journal de de euh de l'enseigne pour pour v pour savoir
cefc-cfpb-1000-5-1398	pourquoi parce que parce que tu as personne pour pour pour gérer tout ça
cefc-cfpb-1000-5-559	ben le Wallon euh je vais dire que chacun a ses origines euh ses son
cefc-cfpb-1000-5-1453	il y a des activités qui se proposaient par exemple au bon marché
cefc-cfpb-1000-5-1538	et puis je commence effectivement à fond ma journée
cefc-cfpb-1000-5-1316	à Limal
cefc-cfpb-1000-5-1206	ah oui les tomates farcies ouais aussi par contre les cuisiner les cuisiner ça
cefc-cfpb-1000-5-582	et il y a cette tradition qui rat qui qui est depuis un depuis un certain nombre d'années
cefc-cfpb-1000-5-614	euh les gens évidemment quand ils viennent en Belgique ils essayent d'avoir euh de du travail de d'avoir un logement
cefc-cfpb-1000-5-805	je veux dire qu'il y a pas vraiment
cefc-cfpb-1000-5-1651	et moi je demande que ça forcément puis je travaille ici
cefc-cfpb-1000-5-1488	oui oui oui je pense aussi
cefc-cfpb-1000-5-1110	même euh elle elle a commencé à travailler entre guillemets
cefc-cfpb-1000-5-458	non peut plus rester comme ça
cefc-cfpb-1000-5-1714	mais ma journée est finie
cefc-cfpb-1000-5-1483	regarde le le chose aussi
cefc-cfpb-1000-5-108	euh attends
cefc-cfpb-1000-5-798	donc au Pacheco tout est vide
cefc-cfpb-1000-5-635	et ben avant il y avait le Bon Marché
cefc-cfpb-1000-5-1699	ils ont fait les cornichons
cefc-cfpb-1000-5-1633	n il y a encore des délibés qui se donnent
cefc-cfpb-1000-5-675	et on organisait en fait derrière les les différents salons foires du livre
cefc-cfpb-1000-5-1808	alors il faut fermer il faut ouvrir les portes
cefc-cfpb-1000-5-1331	j'en ai pris euh un bol d'
cefc-cfpb-1000-5-1363	comment les gens font pour être livrés
cefc-cfpb-1000-5-1161_2	euh mh
cefc-cfpb-1000-5-1368	le problème c'est que comme tu peux le constater on il y a plein de choses qui viennent sur le tapis en disant maintenant
cefc-cfpb-1000-5-587	et alors en fait c'est euh ils ont les Bruxellois ont chassé les Hol les les les les Hollandais de de Bruxelles
cefc-cfpb-1000-5-1489	et euh au niveau des informations qui circulent dans le quartier comment est-ce que tu t'informes par rapport à tout ce qui se passe dans le quartier non
cefc-cfpb-1000-5-1245	et alors tu retrouves un peu n'importe quoi dans ces ja dans ce jardin
cefc-cfpb-1000-5-1737	non-anonymisée donc ça veut dire
cefc-cfpb-1000-5-1587	et il m'a dit tu dois dire non non je peux pas
cefc-cfpb-1000-5-191	ok parfait allez encore une question euh
cefc-cfpb-1000-5-810	ou est-ce que c'est vraiment le français qui domine
cefc-cfpb-1000-5-1754	ce serait pour euh des micros pour un micro dans l'auditoire un
cefc-cfpb-1000-5-113	ben septante -sept septante-six
cefc-cfpb-1000-5-590	et forcément on s'arrange toujours pour que
