clips	text
cefc-clapi-aperitif_chat-175	ah ouais
cefc-clapi-aperitif_chat-331	à une autre dimension la quatrième plus grande ville de suède euh linköping c'est ça ça doit avoir la taille de h
cefc-clapi-aperitif_chat-406	bah c'est
cefc-clapi-aperitif_chat-688	et lui en fait c'était la première fois qu'il assistait h la prof en fait
cefc-clapi-aperitif_chat-728	mais moi jamais je comprendrais tu vois
cefc-clapi-aperitif_chat-1152	nan nan nan
cefc-clapi-aperitif_chat-1016	hm c'est bizarre pourtant à lyon en fait
cefc-clapi-aperitif_chat-1022	donc il faudra qu'on y aille bientôt là
cefc-clapi-aperitif_chat-684	en plus une fois en fait il est venu avec moi en cours
cefc-clapi-aperitif_chat-1037	c'est comme le vélov
cefc-clapi-aperitif_chat-338	nan mais la c'est quand même différent en france
cefc-clapi-aperitif_chat-699	mais c'est
cefc-clapi-aperitif_chat-500	bah il a jamais touché au canapé jusque là hein
cefc-clapi-aperitif_chat-361	ça ça me dit rien
cefc-clapi-aperitif_chat-261	ah ouais
cefc-clapi-aperitif_chat-936	ben ça dépend en fait ce que tu en fais hein
cefc-clapi-aperitif_chat-491	ils sont classés par catégorie en fait
cefc-clapi-aperitif_chat-4	ça va et toi
cefc-clapi-aperitif_chat-656	mais ça c'est boîte noire de la science
cefc-clapi-aperitif_chat-309	on parle beaucoup d'anglais
cefc-clapi-aperitif_chat-627	les chats ça écoute pas c'est très indépendant
cefc-clapi-aperitif_chat-243	ouais tu as f
cefc-clapi-aperitif_chat-352	hé mais elle aussi elle a fait une année de fac à besançon
cefc-clapi-aperitif_chat-205	peu importe hein toute façon
cefc-clapi-aperitif_chat-872	en plus même pour les concours les
cefc-clapi-aperitif_chat-666	hm euh elles sont plus utilisées pour euh pour le dressage
cefc-clapi-aperitif_chat-337	bah c'est toute façon
cefc-clapi-aperitif_chat-1011	donc enfin
cefc-clapi-aperitif_chat-347	j'ai fait j'ai fait quelques années de fac à à besançon
cefc-clapi-aperitif_chat-581	ils sont fragiles
cefc-clapi-aperitif_chat-111	ouais tu as
cefc-clapi-aperitif_chat-414	ils te voient beaucoup mieux ouais
cefc-clapi-aperitif_chat-151	non je vais prendre ça en fait
cefc-clapi-aperitif_chat-89	ouais c'est sympa ça
cefc-clapi-aperitif_chat-825	ça ouais ouais
cefc-clapi-aperitif_chat-231	mais en fait c'était un semestre assez long fin
cefc-clapi-aperitif_chat-1031	nan mais tu as raison enfin en plus
cefc-clapi-aperitif_chat-70	mais pourquoi forcément alcoolisé
cefc-clapi-aperitif_chat-1151	NNAAMMEE tu veux pas prendre de veste
cefc-clapi-aperitif_chat-162	c'est vrai que tout à l'heure on va en boîte
cefc-clapi-aperitif_chat-160	on commence la soirée là
cefc-clapi-aperitif_chat-1009	tu sais c'est pas ce qui manque hein
cefc-clapi-aperitif_chat-751	nan mais c'est clair
cefc-clapi-aperitif_chat-573	c'est que
cefc-clapi-aperitif_chat-1069	tu peux avoir un abonnement enfin très très courte durée
cefc-clapi-aperitif_chat-654	là euh
cefc-clapi-aperitif_chat-927	mais au final en fait là c'est comme d'hab
cefc-clapi-aperitif_chat-126	nan mais vas-y
cefc-clapi-aperitif_chat-798	oui c'est vrai que les noms étaient vachement proches
cefc-clapi-aperitif_chat-429	j'en ai
cefc-clapi-aperitif_chat-66	vous voulez un truc alcoolisé
cefc-clapi-aperitif_chat-469	moi en fait j'ai jamais vu de toute ma vie en fait des
cefc-clapi-aperitif_chat-847	en fait moi je trouve ça intéressant
cefc-clapi-aperitif_chat-546	qui n'ont n'en jamais eu il y a vraiment les gens qui ont des animaux
cefc-clapi-aperitif_chat-1084	pas ouais c'est clair avec assurance euh
cefc-clapi-aperitif_chat-270	en fait c'est une petite association que j'ai découverte ouais
cefc-clapi-aperitif_chat-988	mouais tu vois
cefc-clapi-aperitif_chat-554	ouais ah ouais
cefc-clapi-aperitif_chat-143	il te plait
cefc-clapi-aperitif_chat-794	ouais ouais
cefc-clapi-aperitif_chat-478	un groupe de jeunes bah ils voudraient euh je sais pas moi prendre un petit apéro comme nous
cefc-clapi-aperitif_chat-634	mais en fait les chats ils comprennent
cefc-clapi-aperitif_chat-640	c'est compliqué la la langue tu vois
cefc-clapi-aperitif_chat-459	pas visité un peu
cefc-clapi-aperitif_chat-648	l'intonation aussi
cefc-clapi-aperitif_chat-197	c'est ça décape
cefc-clapi-aperitif_chat-333	ouais non c'est méchant avec
cefc-clapi-aperitif_chat-876	tu veux un petit peu de jus de fruit
cefc-clapi-aperitif_chat-602	je sais pas j'aurais plus peur du gros rat moi
cefc-clapi-aperitif_chat-845	c'est pas lié au pétrole non non non non
cefc-clapi-aperitif_chat-861	enfin y a beaucoup de contextes qu'on comprend bien en fait
cefc-clapi-aperitif_chat-258	mais en fait après au début en fait quand je suis arrivée
cefc-clapi-aperitif_chat-694	un arbre tu veux hop hop hop
cefc-clapi-aperitif_chat-215	ah moi non plus hein on a mangé avant de venir aussi
cefc-clapi-aperitif_chat-733	tu bosses toujours autant
cefc-clapi-aperitif_chat-72	non mais si tu as un petit truc ouais je veux
cefc-clapi-aperitif_chat-1154	nan ça va
cefc-clapi-aperitif_chat-821	et après ils font comme si
cefc-clapi-aperitif_chat-450	les nan mais quand tu quand tu y étais là ouais dans dans en suède là donc euh tu étais à stockholm ou
cefc-clapi-aperitif_chat-465	franchement euh
cefc-clapi-aperitif_chat-233	quoi j'ai exprès fait attention de rester pendant six mois
cefc-clapi-aperitif_chat-828	ah ouais
cefc-clapi-aperitif_chat-65	tu es fan de cacahuète
cefc-clapi-aperitif_chat-9	ah le chat il ch il s'est échappé
cefc-clapi-aperitif_chat-411	moi c'est vrai
cefc-clapi-aperitif_chat-221	alors la suède ben la suède c'était bien ouais
cefc-clapi-aperitif_chat-521	à la limite du truc ouais
cefc-clapi-aperitif_chat-673	la région post labiale ou ou truc dans le genre là
cefc-clapi-aperitif_chat-579	les nan
cefc-clapi-aperitif_chat-1122	je vais vous montrer tout de suite
cefc-clapi-aperitif_chat-831	ouais c'est vrai que c'est pas mal histoire ouais
cefc-clapi-aperitif_chat-348	ah c'est pour ça
cefc-clapi-aperitif_chat-755	nan mais c'est vrai
cefc-clapi-aperitif_chat-236	parce que tout le monde me le demande en fait ouais comment c'était
cefc-clapi-aperitif_chat-1145	fait ton ampoule là-bas euh
cefc-clapi-aperitif_chat-550	qui qui ouais
cefc-clapi-aperitif_chat-96	c'est un peu un style euh
cefc-clapi-aperitif_chat-557	les chiens ça dé ouais
cefc-clapi-aperitif_chat-474	c'est vrai
cefc-clapi-aperitif_chat-101	ce que tu veux
cefc-clapi-aperitif_chat-214	bien je sais pas pourquoi j'ai pas très faim
cefc-clapi-aperitif_chat-122	tu veux t'asseoir
cefc-clapi-aperitif_chat-621	hm à la niche il l'avait pas fait encore
cefc-clapi-aperitif_chat-412	j'ai même utilisé les stores
cefc-clapi-aperitif_chat-100	voilà particulier spécialo colonialo euh
cefc-clapi-aperitif_chat-882	quoi merci
cefc-clapi-aperitif_chat-1021	tu sais autopartage là pour dans dans pas longtemps
cefc-clapi-aperitif_chat-384	si si le doubs c'est pas mal hein
cefc-clapi-aperitif_chat-3	coucou ça va
cefc-clapi-aperitif_chat-75	ou un jus de fruit ou
cefc-clapi-aperitif_chat-1072	hm enfin
cefc-clapi-aperitif_chat-99	et euh
cefc-clapi-aperitif_chat-959	ouais c'est vrai
cefc-clapi-aperitif_chat-320	quand j'étais en suède également sous-titrées
cefc-clapi-aperitif_chat-1003	mal à la croix rousse
cefc-clapi-aperitif_chat-1057	tu loues ta caisse pour euh quelques heures
cefc-clapi-aperitif_chat-1089	bon euh
cefc-clapi-aperitif_chat-183	pas ouais c'est pour essayer c'est c'est ce côté euh novateur euh imprévisible
cefc-clapi-aperitif_chat-93	c'est ça
cefc-clapi-aperitif_chat-911	j'ai jamais compris ce qu'elle voulait faire avec
cefc-clapi-aperitif_chat-704	mais il a fait deux trois trucs à l'envers par rapport à comme moi
cefc-clapi-aperitif_chat-678	tu vois les tableaux phonétiques les sons euh positions dans la bouche euh
cefc-clapi-aperitif_chat-178	mais euh
cefc-clapi-aperitif_chat-860	on com
cefc-clapi-aperitif_chat-1110	hm hm
cefc-clapi-aperitif_chat-264	donc euh
cefc-clapi-aperitif_chat-116	pour cent ouais
cefc-clapi-aperitif_chat-424	et les filles elles aiment bien prendre le vélo
cefc-clapi-aperitif_chat-278	mais si tu le veux pas tu peux ne pas accueillir également
cefc-clapi-aperitif_chat-600	ouais c'est vite vu
cefc-clapi-aperitif_chat-1093	ouais nan
cefc-clapi-aperitif_chat-1118	ouais si tu veux sortir d'en dehors de lyon un petit coup euh le week-end
cefc-clapi-aperitif_chat-103	bouah c'est joli pour moi c'est sympa ouais
cefc-clapi-aperitif_chat-629	mais en fait c'est intéressant parce que y a des gens enfin
cefc-clapi-aperitif_chat-973	parce que il manque un peu trop de sucré ici
cefc-clapi-aperitif_chat-758	nan j'ai jamais travaillé
cefc-clapi-aperitif_chat-94	ouais c'est un truc ikea à moins soixante-dix pour cent qui et en fait euh les mecs ils ont des pièces comme ça ou euh les gens forcément
cefc-clapi-aperitif_chat-866	au lycée ou qu'
cefc-clapi-aperitif_chat-580	mais les chiens micro en fait on avait ils tombent malade tout de suite euh tous les ils sont super fragiles
cefc-clapi-aperitif_chat-865	enfin moi ça m'a ça m'a beaucoup plus euh intéressé que qu'
cefc-clapi-aperitif_chat-1078	quand tu réfléchis que
cefc-clapi-aperitif_chat-181	il boit jamais ça normalement
cefc-clapi-aperitif_chat-180	non mais le whisky en fait il boit en fait
cefc-clapi-aperitif_chat-928	tu fais ta politique politicienne langue de bois
cefc-clapi-aperitif_chat-515	ah mais tu as vu il est dressé
cefc-clapi-aperitif_chat-161	donc euh
cefc-clapi-aperitif_chat-949	hm hm et quand même c'est utile d'avoir un background quoi donc après ça dépend vraiment ce qu'on en fait
cefc-clapi-aperitif_chat-321	donc enfin et ils ont toujours les versions originales
cefc-clapi-aperitif_chat-584	attrapent des maladies pas possibles
cefc-clapi-aperitif_chat-120	ça fait un peu bizarre
cefc-clapi-aperitif_chat-801	moi je pense que que c'est assez utile
cefc-clapi-aperitif_chat-422	c'est ce qui n'empêche pas les gens de prendre tous les vélos
cefc-clapi-aperitif_chat-586	enfin je pense là
cefc-clapi-aperitif_chat-925	ou tu es spécialisé
cefc-clapi-aperitif_chat-373	et puis euh h mais euh je me rappelle encore que c'était vraiment joli hm
cefc-clapi-aperitif_chat-273	je m'en rappelle plus
cefc-clapi-aperitif_chat-763	mais v c l c'est on bosse hein
cefc-clapi-aperitif_chat-307	parce que vu
cefc-clapi-aperitif_chat-52	on n'était pas très d'accord
cefc-clapi-aperitif_chat-79	bah en fait je vais apporter ce que j'ai hein
cefc-clapi-aperitif_chat-765	en même temps en fait on bosse nous on bosse
cefc-clapi-aperitif_chat-993	ouais quatre heures euh les mecs de NNAAMMEE ils tirent un peu la gueule
cefc-clapi-aperitif_chat-279	tu peux juste prendre un verre
cefc-clapi-aperitif_chat-606	un chat en ville c'est quand même pratique quoi dans un appartement
cefc-clapi-aperitif_chat-562	ouais c'est vrai que c'est pas pratique
cefc-clapi-aperitif_chat-597	contre un voleur
cefc-clapi-aperitif_chat-576	enfin les chiens microbiens là et
cefc-clapi-aperitif_chat-603	ouais moi aussi ouais enfin
cefc-clapi-aperitif_chat-587	tu dépenses plus d'argent en fait pour le véto
cefc-clapi-aperitif_chat-537	et vous aussi vous p vous avez eu des animaux
cefc-clapi-aperitif_chat-179	après le whisky
cefc-clapi-aperitif_chat-569	mais c'est pas faux ce qu'il dit hein vraiment
cefc-clapi-aperitif_chat-196	c'est comme euh lubrifiant pour les artères quoi
cefc-clapi-aperitif_chat-349	j'aime bien
cefc-clapi-aperitif_chat-864	je me suis rendu compte que les livres d'histoire c'est
cefc-clapi-aperitif_chat-720	mais en fait la compta et tout euh le droit
cefc-clapi-aperitif_chat-542	moi c'est pareil
cefc-clapi-aperitif_chat-655	c'est comme les chiens
cefc-clapi-aperitif_chat-344	ouais je viens du jura ouais
cefc-clapi-aperitif_chat-650	ouais ça je pense aussi ouais
cefc-clapi-aperitif_chat-362	mais moi j'étais dans le bas
cefc-clapi-aperitif_chat-1148	moi je suis un je suis un peu petit
cefc-clapi-aperitif_chat-51	ouais ouais ça ça ça me fait penser à un restaurant ça
cefc-clapi-aperitif_chat-487	ou nan donc il y a les gens qui ne boivent pas en fait et pis
cefc-clapi-aperitif_chat-1149	et elle est un peu à quatre mètres
cefc-clapi-aperitif_chat-490	c'est un petit peu en fait comme si je sais pas moi comme si tu
cefc-clapi-aperitif_chat-428	encore euh tu en veux d'autres
cefc-clapi-aperitif_chat-735	nan tu as
cefc-clapi-aperitif_chat-827	tu te dis
cefc-clapi-aperitif_chat-705	je fais
cefc-clapi-aperitif_chat-1132	tu vas tu vas ranger tout à l'heure
cefc-clapi-aperitif_chat-898	qu'il euh qu'il peut raconter comme ça tu vois les petites anecdotes qu'il trouve enfin
cefc-clapi-aperitif_chat-903	la géopolitique c'est bien ça
cefc-clapi-aperitif_chat-1130	non je pense que le reste je vais le faire tout à l'heure hein
cefc-clapi-aperitif_chat-1004	en fait y a y a un club ouais qui vient d'ouvrir
cefc-clapi-aperitif_chat-20	il est parti à l'exploration
cefc-clapi-aperitif_chat-1146	qui traîne dans le couloir
cefc-clapi-aperitif_chat-390	quoi mais en fait non euh enfin moi c'est la première fois que je suis allé
cefc-clapi-aperitif_chat-1015	quoi mais des petits c des bars ça peut être sympa ouais
cefc-clapi-aperitif_chat-941	ben communication
cefc-clapi-aperitif_chat-570	ah mais si enfin je connais
cefc-clapi-aperitif_chat-287	il y a six mille personnes qui sont inscrites
cefc-clapi-aperitif_chat-971	avec de la vodka
cefc-clapi-aperitif_chat-867	au collège
cefc-clapi-aperitif_chat-46	c'est vrai que c'est blanc hein
cefc-clapi-aperitif_chat-1030	surtout pas casser l'ambiance quoi hein mais faut qu'on y aille aussi
cefc-clapi-aperitif_chat-695	ah mais c'est bizarre
cefc-clapi-aperitif_chat-468	en fait il y a plein de choses qui sont chères par exemple les coiffeurs
cefc-clapi-aperitif_chat-367	enfin c'était pas grand-chose quoi le jura
