clips	text
cefc-coralrom-ffamcv01-371	ça c'est ça que je veux savoir
cefc-coralrom-ffamcv01-348	c'est vrai qu'un an
cefc-coralrom-ffamcv01-276	dans l' dans la vie de couple
cefc-coralrom-ffamcv01-256	moi c'est pas ce que je pense forcément
cefc-coralrom-ffamcv01-408	et puis voilà euh
cefc-coralrom-ffamcv01-61	si on s'aimera machin et tout
cefc-coralrom-ffamcv01-70	euh est-ce que est-ce que finalement on on consomme l'amour ou est-ce que est-ce qu'on subit l'amour
cefc-coralrom-ffamcv01-161	je sais pas s'il y a un amour particulier
cefc-coralrom-ffamcv01-407	je me suis dit non c'est pas possible
cefc-coralrom-ffamcv01-251	mais comment comment est-ce qu'il peut te choquer puisque justement c'est quelque chose de de périssable d'éphémère
cefc-coralrom-ffamcv01-129	non non l'amour fait que c'est pas une contrainte
cefc-coralrom-ffamcv01-349	on on va mettre la barre
cefc-coralrom-ffamcv01-412	j'en je me rends compte maintenant
cefc-coralrom-ffamcv01-59	on enfin on en sait rien si dans vingt ans on s'entendra toujours aussi bien
cefc-coralrom-ffamcv01-434	effectivement tu t'habitues tu as tes petites tes petites manies
cefc-coralrom-ffamcv01-327	c'est pas un souci
cefc-coralrom-ffamcv01-91	la notion d'équilibre de choses subies en partie et actives c'est l'individu qui doit qui doit s'investir
cefc-coralrom-ffamcv01-355	c'est déjà long non
cefc-coralrom-ffamcv01-153	mais si c'est le même à la base mais il y a comme une il passe
cefc-coralrom-ffamcv01-45	ouf c'est chaud mh hein ouais à la deuxième lecture
cefc-coralrom-ffamcv01-448	enfin mais c'est pas grave ça pète machin
cefc-coralrom-ffamcv01-17	et euh et périssable
cefc-coralrom-ffamcv01-33	j'imagine on en parlera après
cefc-coralrom-ffamcv01-173	tu peux l'imaginer à peu prés l'amour que tu vas porter à ta femme
cefc-coralrom-ffamcv01-453	après ça commence à se casser la gueule après ça va être trop lourd puis après d'un coup
cefc-coralrom-ffamcv01-492	qu'on vu que tu veux faire en sorte de d'améliorer
cefc-coralrom-ffamcv01-265	oui toi tu es bien dans le cadre denrée périssable
cefc-coralrom-ffamcv01-152	ouais mais c'est pas la même chose que l'amour passionné enfin
cefc-coralrom-ffamcv01-429	ça c'est c'est pire
cefc-coralrom-ffamcv01-350	on va mettre
cefc-coralrom-ffamcv01-92	ouais voilà c'est c'est à deux que tu fais un truc
cefc-coralrom-ffamcv01-44	si l'autonomie excède certaines limites elle conduira un détachement progressif
cefc-coralrom-ffamcv01-261	mais je suis un gros idéaliste moi
