clips	text
cefc-crfp-PRI-AIX-1-199	et à repartir plein euh je veux dire entre-temps
cefc-crfp-PRI-AIX-1-179	et dans lequel il y avait une case réservée aux euh aux missionnaires de de l'église en question qui étaient en en voyage et qui passaient par là
cefc-crfp-PRI-AIX-1-245	et vous n'avez pas retrouvé les autres
cefc-crfp-PRI-AIX-1-56	donc ça s'est très très bien passé en plus nous
cefc-crfp-PRI-AIX-1-9	et euh
cefc-crfp-PRI-AIX-1-215	je dois dire que s'il n'était pas très aimé par euh par tout par tous ceux qui faisaient des affaires euh dans le pays évidemment compte tenu de son intégrité euh par contre était très aimé du peuple nous nous étions un peu inquiets parce qu'à l'époque nous avions des problèmes avec la Libye euh
cefc-crfp-PRI-AIX-1-48	je lui ai dit que je connaissais cette personne que s'il continuait c'est moi qui lui en parlerais
cefc-crfp-PRI-AIX-1-26	et euh qui est assez original euh
cefc-crfp-PRI-AIX-1-71	qui était euh assez bien entretenue qui servait de route et qui permettait d'accéder à une route goudronnée
cefc-crfp-PRI-AIX-1-155	être les ancêtres des des personnes du village
cefc-crfp-PRI-AIX-1-35	il c'était le pique-assiette
cefc-crfp-PRI-AIX-1-251	euh ils étaient restés coincés de l'autre côté de la frontière dans le au Mali hum
cefc-crfp-PRI-AIX-1-110	écoutez je suis désolé euh il y a un couvre-feu il vient d'y avoir un coup d'État à Ouagadougou
cefc-crfp-PRI-AIX-1-220	c'est que euh euh au cours d'une discussion comme ça dans la rue euh auprès des petites échoppes où on peut manger boire euh euh
cefc-crfp-PRI-AIX-1-18	quand on a fait le le le tour de
cefc-crfp-PRI-AIX-1-232	initialement le séjour devait durer combien
cefc-crfp-PRI-AIX-1-252	ils ont mis longtemps à d'ailleurs
cefc-crfp-PRI-AIX-1-191	bonsoir tous les soirs
cefc-crfp-PRI-AIX-1-104	et nous nous arrivions nous sommes arrivés à à Bobo-Dioulasso
cefc-crfp-PRI-AIX-1-107	et nous étions en train de
cefc-crfp-PRI-AIX-1-15	donc euh nous sommes allés à Sanga
cefc-crfp-PRI-AIX-1-228	or il y avait des des comités de salut public hein euh qui se réunissaient
cefc-crfp-PRI-AIX-1-143	et ils étaient très sympathiques euh
cefc-crfp-PRI-AIX-1-22	je ne rêve que d'y retourner hein
cefc-crfp-PRI-AIX-1-248	eux ils sont restés on l'a su par la suite
cefc-crfp-PRI-AIX-1-82	parce que je entre-temps nous avions rencontré à Mopti euh les gens du coin qui avaient eu un un de leurs véhicules qui s'était euh nous avions des amis là
cefc-crfp-PRI-AIX-1-44	la recommandation du
cefc-crfp-PRI-AIX-1-17	nous sommes allés à Sanga pour pour pour qu'on
cefc-crfp-PRI-AIX-1-25	euh dont je me souviens plus du nom
cefc-crfp-PRI-AIX-1-206	le coup d'État était visible
