clips	text
cefc-fleuron-V_Scol_endo_01_P11-17	la semaine prochaine
cefc-fleuron-V_Scol_endo_01_P11-9	donc je peux vraiment pas encaisser de d'argent
cefc-fleuron-V_Scol_endo_01_P11-19	vous pouvez pas régler autrement euh par carte bancaire par chèque
cefc-fleuron-V_Scol_endo_01_P11-3	je voulais payer en espèces
cefc-fleuron-V_Scol_endo_01_P11-18	non plus je pourrais pas maintenant
cefc-fleuron-V_Scol_endo_01_P11-1	alors moi j'étais venue pour une demande toute simple
cefc-fleuron-V_Scol_endo_01_P11-26	ben ils m'ont dit que c'était seulement un chèque
cefc-fleuron-V_Scol_endo_01_P11-21	par carte bancaire
cefc-fleuron-V_Scol_endo_01_P11-11	alors ce que je vous propose c'est de c'est de revenir euh demain
cefc-fleuron-V_Scol_endo_01_P11-12_2	je peux pas
cefc-fleuron-V_Scol_endo_01_P11-28	par chèque mais par carte bancaire
cefc-fleuron-V_Scol_endo_01_P11-14	et vous avez vraiment pas du tout la possibilité de mettre ça dans un coin parce que là ça m' ça m'ennuie en plus
cefc-fleuron-V_Scol_endo_01_P11-22	et donc vous êtes passée à la cellule web
cefc-fleuron-V_Scol_endo_01_P11-6	et vous pouvez pas du tout euh
cefc-fleuron-V_Scol_endo_01_P11-30	ouais je vais voir d'accord
cefc-fleuron-V_Scol_endo_01_P11-29	quatorze euros cinquante-sept
cefc-fleuron-V_Scol_endo_01_P11-5	ben alors ce qu'il y a c'est que le bureau en face est fermé
cefc-fleuron-V_Scol_endo_01_P11-2	hum en fait euh c'est pour mon inscription voilà
cefc-fleuron-V_Scol_endo_01_P11-8	il faut que non pas du tout parce que je ne suis pas régisseur de recettes
cefc-fleuron-BU_partie_1-1-55	parce que il y a des trucs qui sont disponibles mais que tu peux pas emprunter tu peux juste consulter sur place par exemple
cefc-fleuron-BU_partie_1-1-14	après on peut faire euh
cefc-fleuron-BU_partie_1-1-52	ah oui et et empruntable ça veut dire qu'il est euh que tu peux l'emprunter
cefc-fleuron-BU_partie_1-1-36	voilà voilà c'est ça
cefc-fleuron-BU_partie_1-1-12	ou si tu as carrément un titre ouais
cefc-fleuron-BU_partie_1-1-29	à Metz euh il me semble aussi ouais
cefc-fleuron-BU_partie_1-1-45_2	dans le rayon il faut noter ça en fait pour le retrouver
cefc-fleuron-BU_partie_1-1-21	quand tu es vraiment sûr de ce que tu veux en fait
