clips	text
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-108	lui demandant vas-tu te racheter esclave je me doute que tu dois être riche dis-moi ton prix
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-8	et quand j'ai vu les serviteurs j'ai demandé
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-54	il a fait semblant de manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-9	est-ce que votre maître pourrait me donner à manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-91	puis on a demandé du poulet avec des pistaches
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-31	l'homme s'est levé visiblement il était bien reçu
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-128	et il a abandonné en haut d'une montagne
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-135	mon histoire calife calife Arun al Rachide
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-25	tu n'as pas mangé depuis hier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-107	et son nouveau maître tous les jours le frappait
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-3	je vivais de mendicité
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-49	et regarde le plateau qu'il porte
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-114	et tant qu'un jour il a été tellement énervé qu'il a sorti son couteau et qu'il lui a fendu la lèvre depuis ce temps-là
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-57	et petit à petit les plats ont défilé comme ça accompagnés de pain
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-26	oh et moi qui vis à Bagdad
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-132	et cet homme est devenu barbier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-82	et le maître de maison a levé la tête
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-48	regarde-moi ce serviteur n'est-il pas beau
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-33	et là personne est venu
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-100	et le mendiant s'est retrouvé à nouveau mendiant
