clips	text
cefc-ofrom-unine12a13m-99	je pense que ça aurait arrangé beaucoup beaucoup de choses si tu veux
cefc-ofrom-unine12a13m-16	j'ai jamais vraiment su s'ils avaient racheté en prévision de me le revendre
cefc-ofrom-unine12a13m-27	quand il à à l'âge de trois ans c'est vrai que c'était pas vraiment prévu comme ça
cefc-ofrom-unine12a13m-128	ah ouais suites de syllabes me semblait ouais que
cefc-ofrom-unine12a13m-73	c'est un peu revenu un peu revenu au galop
cefc-ofrom-unine12a13m-229	c'est c'est convivial en tout cas ouais
cefc-ofrom-unine12a13m-222	dès que tu peux à la buvette il y a les stöckers
cefc-ofrom-unine12a13m-58	un cheval sans papiers euh demi-sang
cefc-ofrom-unine12a13m-185	j'ai la présidence du du téléski
cefc-ofrom-unine12a13m-55	on savait pas qui il appartenait
cefc-ofrom-unine12a13m-86	et puis après il a été mis un peu au repos ouais ouais
cefc-ofrom-unine12a13m-209	et puis euh bon ça fonctionne beaucoup euh avec le bé-
cefc-ofrom-unine12a13m-108	quoi d'accord
cefc-ofrom-unine12a13m-20	et puis donc euh voilà moi ils me l'ont montré ce ce p amorce ce ce deux ans
cefc-ofrom-unine12a13m-51	cette dame qui avait son cheval en pension là
cefc-ofrom-unine12a13m-61	et puis elle donc c'est elle qui l'a racheté
cefc-ofrom-unine12a13m-203	puis ils s'étaient laissés un peu à l'abandon ils cherchaient à le vendre
cefc-ofrom-unine12a13m-189	mais c'est intéressant c'est vraiment
cefc-ofrom-unine12a13m-32	ben c'était un peu un cheval comme ça que je cherchais sans vraiment
cefc-ofrom-unine12a13m-29	puis ben voilà ça arrangeait bien tout le monde
cefc-ofrom-unine12a13m-33	je l'avais encore pas vraiment cherché
cefc-ofrom-unine12a13m-28	mais les choses se sont se sont enchaînées
cefc-ofrom-unine12a13m-6	et puis il s'est averé que deux ans après moi j'avais pris en pension pendant un été une des juments justement de ces amis hein
cefc-ofrom-unine12a13m-91	ça devait être sûrement un une sorte de demi-sang suisse
cefc-ofrom-unine12a13m-181	donc euh ils devaient me conduire
cefc-ofrom-unine12a13m-18	ou bien euh si c'était si c'était pr amorce voilà parce que c'ét- amorce est vrai que c'était un joli poulain à deux ans
cefc-ofrom-unine12a13m-164	ouais c'était vraiment réputé pour être des pistes difficiles
cefc-ofrom-unine12a13m-67	entrer dans la vie active
cefc-ofrom-unine12a13m-163	puis on avait des conditions ici de suites de syllabes
cefc-ofrom-unine12a13m-53	et puis j'allais en balade avec
cefc-ofrom-unine12a13m-43	voilà ça fait depuis gamine que j'étais toujours avec les chevaux
cefc-ofrom-unine12a13m-54	et puis elle avait demandé à mes parents si ils étaient intéressés ou si j'étais déjà intéressée à avoir une sorte de demi-pension sur ce cheval qui était euh là euh
cefc-ofrom-unine12a13m-124	euh elle est ouais elle a déjà suites de syllabes incompréhensibles
cefc-ofrom-unine12a13m-42	euh si tu veux à l'âge de à l'adolescence moi j'avais mon
cefc-ofrom-unine12a13m-59	apparemment qui avait ouais pas dû avoir la la vie toute rose non plus
cefc-ofrom-unine12a13m-194	et puis euh il a été construit
cefc-ofrom-unine12a13m-232	ça fait depuis deux mille huit
cefc-ofrom-unine12a13m-227	c'est vrai que les parents les déposent
cefc-ofrom-unine12a13m-88	vingt-deux vingt-trois vingt-trois ans je sais plus par là autour
cefc-ofrom-unine12a13m-141	ben cette neige ça me fait penser un peu au sport hein parce que tu avais marqué toi que tu aimais bien le ski
cefc-ofrom-unine12a13m-135	on espère que que ça tienne un petit coup voilà qu'il y ait pas trop de neige d'ici d'ici un mois
cefc-ofrom-unine12a13m-168	puis c'est bien c'était bien raide
cefc-ofrom-unine12a13m-139	et puis on évite euh on fera attention ce qu'on disait en revenant sur le sur le dur hein
