clips	text
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-21	et il voit NNAAMMEE NNAAMMEE cet après-midi allô oui
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-9	est devenu salarié de la C C I de NNAAMMEE
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-10	donc euh ils nous le vendent pour une prestation de neuf jours
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-16	puis euh un peu au début de l'année prochaine
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-19	et puis il va rencontrer plateformes technologiques proviseurs de lycée etc faire la passerelle et l'interface avec le monde de l'enseignement pour voir
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-23	ah il est dans nos locaux oui
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-1	dans les locaux demain c'est une personne de la C C I de NNAAMMEE que l'on a sollicitée euh et que l'on avait vue avec NNAAMMEE fin août fin août et que l'a on a sollicitée pour nous aider à travailler sur le projet NNAAMMEE
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-2	NNAAMMEE NNAAMMEE NNAAMMEE NNAAMMEE NNAAMMEE NNAAMMEE
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-20	comment ils réagissent
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-12	hein c'est ça c'est ça neuf jours euh
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-18	il verra NNAAMMEE cet après-midi euh voilà
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-3	euh il y a travaillé lui dans ce milieu-là pendant une quinzaine d'années de mémoire
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-4	et c'est lui qui a constitué le le le l'Institut NNAAMMEE de de la et de la de NNAAMMEE
cefc-reunions-de-travail-CCI_CoDir_19nov07_1-17	voilà donc j'ai demandé à NNAAMMEE de se mobiliser là-dessus parce qu'il a besoin de rencontrer euh les chargés industrie de la chambre pour euh faire pouvoir faire un peu remonter les choses
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-1896	ouais alors
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-2496	tu peux pas être moniteur éducateur pendant ton stage de BEP
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-24	et on devrait avoir probablement un mois pour y répondre
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-1726	regarde la euh la forme du
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-2269	sur le cheval on le met
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-2711	c'est dans le NNAAMMEE NNAAMMEE
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-2550	on a fait les trois quarts on va terminer hein
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-1284	moi je risque d'avoir un appel
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-3247	alors je crois NNAAMMEE elle est plus responsable de secteur
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-2137	il est animateur animateur euh peut-être euh
cefc-reunions-de-travail-OF1_SeanceTravail_4dec07-2104	oui si c'est possible hein comme ça on pourra euh peut-être euh l'insérer parce qu'on est en train de travailler sur euh les ressources
