clips	text
cefc-tcof-Acc_del_07-118	mh il y a pas longtemps j'ai revu une tante
cefc-tcof-Acc_del_07-112	oh ben ouais euh enfin c'est je sais
cefc-tcof-Acc_del_07-166	tu dis euh un pneu de voiture
cefc-tcof-Acc_del_07-85	on normalement on dit pas je vais voir Matthieu
cefc-tcof-Acc_del_07-150	parce que je dis non
cefc-tcof-Acc_del_07-148	tu es né à Nancy tu es né à Nancy
cefc-tcof-Acc_del_07-181	je connais pas l'bordelais
cefc-tcof-Acc_del_07-64	mais je sais pas si si je peux pas dire si si c'est vrai ou
cefc-tcof-Acc_del_07-186	que les Bre même les Bretons ils ont un accent
cefc-tcof-Acc_del_07-67	mais c'est parce qu'en fait c'est non
cefc-tcof-Acc_del_07-31	mais en fait on l'a en fait on a on n'a pas l'impression d'avoir un accent
cefc-tcof-Acc_del_07-41	ben des fois j'ai des mots qui viennent de certains endroits de d'autres
cefc-tcof-Acc_del_07-19	j'ai pas d' j'ai pas énormément d'accent mh quand tu m'écoutes parler
cefc-tcof-Acc_del_07-153	si non si non si
cefc-tcof-Acc_del_07-8	mais je me rends compte que quand je reviens en Lorraine euh vous avez vraiment un accent
cefc-tcof-Acc_del_07-1	tu peux pas savoir
cefc-tcof-Acc_del_07-176	mh je connais pas l'accent bordelais
cefc-tcof-Acc_del_07-76	oui mais il t'appartient à toi l'accent
cefc-tcof-Acc_del_07-100	par contre tu écoutes tu écoutes un Alsacien
cefc-tcof-Acc_del_07-147	si non si non si non si euh
cefc-tcof-Acc_del_07-65	mais l'accent de Bordeaux ils ont un sacré accent hein
cefc-tcof-Acc_del_07-124	mais euh vraiment l'accent euh
cefc-tcof-Acc_del_07-168	c'est un pneu un pneu de voiture
cefc-tcof-Acc_del_07-72	tu peux pas pas définir quelque chose qui est inné et qui est instinctif
cefc-tcof-Acc_del_07-68	tu tu arrives à décrire un accent autre que le tien
cefc-tcof-Acc_del_07-165	l'accent marseillais eux ils mettent des E où il y en a pas
cefc-tcof-Acc_del_07-11	quand on l'entend on a l'impression qu'elle parle comme nous qu'elle a pas d'accent et pourtant elle en nous entendant elle voit qu'on a un accent
cefc-tcof-Acc_del_07-161	non mais voilà il y a des accents des fois
cefc-tcof-Acc_del_07-55	un jour mon ami bordelais
cefc-tcof-Acc_del_07-23	non mais même même euh les gens m'écoutent parler j'ai pas d'accent en général
cefc-tcof-Acc_del_07-21	parce que bah c'est pas que tu as pas d'accent c'est parce que on vit au même endroit
cefc-tcof-Acc_del_07-12	alors normalement le principe des accents c'est que
cefc-tcof-Acc_del_07-110	on a l'impression que c'est un pas un parler vulgaire
cefc-tcof-Acc_del_07-109	ti pff les Normands quand ils parlent
cefc-tcof-Acc_del_07-50	rotonde mh alors il me parlait
cefc-tcof-Acc_del_07-45	il fait ouais moi je me suis je me suis gouré à la rotonde là
cefc-tcof-Acc_del_07-52	enfin normalement c'est rotonde mais ils disent rotonde
cefc-tcof-Acc_del_07-122	tu sais que bon euh
cefc-tcof-Acc_del_07-98	et ça choque les autres euh les autres régions
cefc-tcof-Acc_del_07-42	c'est Matthieu il me fait rire quand il dit lui il dit pas euh
cefc-tcof-Acc_del_07-194	non mais c'est ça c'est les
cefc-tcof-Acc_del_07-81	quoi c'est la seule chose que je peux dire sur l'accent romain euh romain l'accent lorrain
cefc-tcof-Acc_del_07-163	eh ben oui euh
cefc-tcof-Acc_del_07-27	accent lorrain lorrain
cefc-tcof-Acc_del_07-22	donc forcément ton accent
cefc-tcof-Acc_del_07-170	oh putain que la mer elle était bonne
cefc-tcof-Acc_del_07-6	il devait venir de Paris ou je ne sais où il venait en Lorraine revoir sa famille
cefc-tcof-Acc_del_07-40	mais tu parles quel français alors
cefc-tcof-Acc_del_07-126_2	faut parler d'une certaine façon
cefc-tcof-Acc_del_07-75	mais pour moi c'est pas c'est pas inné ni instinctif
cefc-tcof-Acc_del_07-99	ouais i ça me choque aussi
cefc-tcof-Acc_del_07-37	mais tu tu parles tu parles pas de langue française parisien
cefc-tcof-Acc_del_07-86	et moi quand je parle de Matthieu dans une conversation je vais dire
cefc-tcof-Acc_del_07-89	oui mais c'est c'est pas la question de l'accent
cefc-tcof-Acc_del_07-142	non non non non
cefc-tcof-Acc_del_07-63	m'a dit que j'ai un accent lorrain un petit peu
cefc-tcof-Acc_del_07-177	ils ont un accent eux aussi euh
cefc-tcof-Acc_del_07-130	mais en avec des mots français
cefc-tcof-Acc_del_07-71	tu peux pas définir ton accent
cefc-tcof-Acc_del_07-192	à demain à demain
cefc-tcof-Acc_del_07-125	et tu arrives pas le décrire en fait qu'un accent alsacien tu arrives à peu près à le décrire euh
cefc-tcof-Acc_del_07-28	non j'ai pas j'ai pas l'accent lorrain
cefc-tcof-Acc_del_07-104	mal tu écoutes un quelqu'un du Nord
cefc-tcof-Acc_del_07-44	il me parlait je comprenais rien du tout
cefc-tcof-Acc_del_07-48	mais moi j'ai j' j'avais jamais entendu dire une rotonde
cefc-tcof-Acc_del_07-178	le sud il y a beaucoup dans le sud
cefc-tcof-Acc_del_07-140	je dirai en plus tous les ans
cefc-tcof-Acc_del_07-116	ma famille une partie de ma famille qui est encore en Normandie
cefc-tcof-Acc_del_07-156	j'ai fait un jeu de mots
cefc-tcof-Acc_del_07-121	mais elle avait vraiment l'accent normand quoi
cefc-tcof-Acc_del_07-187_2	demain demain
cefc-tcof-Acc_del_07-5	mais euh même moi hein je quand il y a quelqu'un qui vient je sais plus il venait de
cefc-tcof-Acc_del_07-172	c'est oh que tu devrais aller t'y baigner euh
cefc-tcof-Acc_del_07-160	ouh ouh c'est profond ça
cefc-tcof-Acc_del_07-174	bon il y a l' l'accent ben bordelais
cefc-tcof-Acc_del_07-135	l'accent alsacien c'est tu parles
cefc-tcof-Acc_del_07-190	à demain demain demain
cefc-tcof-Acc_del_07-144	si si oui on on est à Nancy hein
cefc-tcof-Acc_del_07-51	mais je dis mais de quoi il me cause celui-là
cefc-tcof-Acc_del_07-17	et là c'était que dans un sens c'était pas réciproque
cefc-tcof-Acc_del_07-171	oh bonne mère c'est ça hein
cefc-tcof-Acc_del_07-111	mais tu sais c'est euh
cefc-tcof-Acc_del_07-49_2	parce que dans mon pays enfin en Charente euh ils disent pas un rond-point ils dit une rotonde ils disent une rotonde
cefc-tcof-Acc_del_07-80	non c'est un peu un peu bizarre
cefc-tcof-Acc_del_07-13	si elle elle se rend compte qu'on a un accent forcément
cefc-tcof-Acc_del_07-123	moi c'est un accent que j'ai pas parce que j'ai pas vécu là-haut
cefc-tcof-Acc_del_07-26	on me l'a déjà dit
cefc-tcof-Acc_del_07-117	mh mh
cefc-tcof-Acc_del_07-53	enfin c'est tu sais les fameuses
cefc-tcof-Acc_del_07-157	je l'avoue qui volait bien bas
cefc-tcof-Acc_del_07-128	bah en fait l'accent alsacien
cefc-tcof-Acc_del_07-69	mais sitôt que tu dois décrire ton accent tu peux pas parce que toi ton accent te paraît naturel
cefc-tcof-Acc_del_07-95	non c'est tu sais parler euh
cefc-tcof-Acc_del_07-43	on est en voiture et puis au début
cefc-tcof-Acc_del_07-54	mais mais c'est comment l'accent lorrain parce que
cefc-tcof-Acc_del_07-105	son accent un un Normand tu entends son accent les les Normands quand ils parlent
cefc-tcof-Acc_del_07-2	hein il y a pas mal d'accents des fois hein des fois
cefc-tcof-Acc_del_07-24	ben comment tu peux le savoir
cefc-tcof-Acc_del_07-159	même et encore même les pâquerettes étaient pas assez basses
cefc-tcof-Acc_del_07-167	et bien les marseillais c'est un pneu c'est pas un pneu
cefc-tcof-Acc_del_07-14	je dois me rendre compte
cefc-tcof-Acc_del_07-83	c'est que les Lorrains ont l' l'habitude dire euh de mettre un déterminant devant les prénoms
cefc-tcof-Acc_del_07-188	ouais mais c'est fou ça hein
cefc-tcof-Acc_del_07-173	que l' l' il y a aussi
cefc-tcof-Acc_del_07-132	je suis heureux de te voir hein
cefc-tcof-Acc_del_07-57	oui mais je vois pas bien parce que
cefc-tcof-Carr_mar_06-17	non non mais c'est ce sont des programmes de euh
cefc-tcof-Carr_mar_06-58	et et euh et puis ben elle euh elle fait elle fait
cefc-tcof-Carr_mar_06-15	ben ouais mais je peux pas me permettre de de de refuser parce que là c'est quand même
cefc-tcof-Carr_mar_06-19	c'est pour essayer de remonter la pyramide des
cefc-tcof-Carr_mar_06-40	mais euh on a on
cefc-tcof-Carr_mar_06-65	elle aime ce qu'elle fait donc euh euh
cefc-tcof-Carr_mar_06-47	ouais faut être bien vu
cefc-tcof-Carr_mar_06-8	ben non c'est une la structure d'un ministère
cefc-tcof-Carr_mar_06-11	quoi c'est des c'est tous les ministères
cefc-tcof-Carr_mar_06-128	la la prime qui est budgétisée qui est euh mensualisée
cefc-tcof-Carr_mar_06-29	et puis bon c'est quand même une chance de pouvoir un peu grimper les échelons
cefc-tcof-Carr_mar_06-81	elle est ouais mais faut pas qu'elle soit bonne poire
cefc-tcof-Carr_mar_06-69	elle elle a qu'une hâte
cefc-tcof-Carr_mar_06-71	et puis elle oublie ce qu'elle a fait au boulot
cefc-tcof-Carr_mar_06-127	on la même paie après il y a il y a une une composante de une variante avec le la paie avec le le le comment
cefc-tcof-Carr_mar_06-80	eh ben elle fait un effort pour le prendre tu vois
cefc-tcof-Carr_mar_06-32	voilà hum
cefc-tcof-Carr_mar_06-79	elle est toujours prête à si on lui en rajoute
cefc-tcof-Carr_mar_06-22	et ils voudraient bien recruter parce que maintenant on pourra recruter sans concours
cefc-tcof-Carr_mar_06-43	et et encore euh sur le nombre euh il y en a pas beaucoup qui sont nommés
cefc-tcof-Carr_mar_06-57	mais elle a elle a une grande conscience professionnelle
cefc-tcof-Carr_mar_06-24	ouais donc il faut qu'ils montent
cefc-tcof-Carr_mar_06-18	comment de de requalification
cefc-tcof-Carr_mar_06-42	il faut il faut vraiment être en fin fin de carrière pour réussir à être nommé au choix
cefc-tcof-Carr_mar_06-87	parce que c'est euh c'est assez politique si tu veux
cefc-tcof-Carr_mar_06-39	ben tu peux être nommé au choix
cefc-tcof-Carr_mar_06-114	ah ouais donc euh elle faisait carrément le travail d'un ingénieur
cefc-tcof-Carr_mar_06-45	faut être euh faut être recommandé par son son directeur
cefc-tcof-Carr_mar_06-129	donc là ça il y a une variante à ce niveau-là quoi
cefc-tcof-Carr_mar_06-63	ben moi je dirais pas qu'elle vit pour son boulot
cefc-tcof-Carr_mar_06-64	mais elle s'épanouit dans son travail
cefc-tcof-Carr_mar_06-23	mais pour pouvoir recruter sans concours il faut que les gens qui sont dans les postes de base libèrent la place
cefc-tcof-Carr_mar_06-68	elle fait son boulot puis le soir euh
cefc-tcof-Carr_mar_06-76	elle aime ce qu'elle fait
cefc-tcof-Carr_mar_06-119	et puis je suis sûre qu'ils sont plus payés qu'elle
cefc-tcof-Carr_mar_06-125	c'est on a des indices
cefc-tcof-Carr_mar_06-33	c'est une possibilité
cefc-tcof-Carr_mar_06-120	ah ben largement oui elle est pas payée
cefc-tcof-Carr_mar_06-92	elle c'était pas elle avait pas de dédommagements rien du tout
cefc-tcof-Carr_mar_06-30	quoi ben c'est clair
cefc-tcof-Carr_mar_06-35	alors tu es tu es obligée de passer un concours pour monter ah ben
cefc-tcof-Carr_mar_06-62	ouais qui vivent pour leur boulot
cefc-tcof-Carr_mar_06-78	et puis elle est rendant de service
cefc-tcof-Carr_mar_06-14	je croyais que tu voulais plus en passer des concours
cefc-tcof-Carr_mar_06-52	elle a elle elle se donne sans compter
cefc-tcof-Carr_mar_06-20	ah oui parce qu'il y en a qui sont partis à la retraite
cefc-tcof-Carr_mar_06-51	c'est une fille qui a qui qui se donne vraiment à fond dans son boulot euh
cefc-tcof-Carr_mar_06-77	elle soigne ce qu'elle fait
cefc-tcof-Carr_mar_06-49	là cette année ils en ont nommé une c'est une collègue
cefc-tcof-Carr_mar_06-106	mais les gens qui l'ont remplacée ils sont trois pour faire ce qu'elle faisait elle
cefc-tcof-Carr_mar_06-59	elle fait beaucoup de de de sacrifices pour que tout soit bien
cefc-tcof-Carr_mar_06-21	et puis voilà il y a beaucoup de gens qui sont partis en retraite
cefc-tcof-Carr_mar_06-105	donc elle est secrétaire du directeur
cefc-tcof-Carr_mar_06-66	ça fait partie de sa vie
cefc-tcof-Carr_mar_06-126	et euh en fonction de l'indice eh ben tu as euh tu as euh un certain montant un un certain salaire tous le les l'indice-là tout le tous les gens qui ont cet indice-là
cefc-tcof-Carr_mar_06-93	et euh le les plans de chasse ça représente des piles et des piles euh parce que c'est énormément de de chasseurs
cefc-tcof-Carr_mar_06-26	et puis bon ils vont en nommer aussi au choix des anciennes tout ça pour que la pyramide
cefc-tcof-Carr_mar_06-102	elle a fait ça pendant des années toute seule
cefc-tcof-Carr_mar_06-124	c'tu sais dans la fonction publique
cefc-tcof-Carr_mar_06-116	punaise dix ans ils se sont servis d'elle hein
cefc-tcof-Carr_mar_06-121	elle est payée comme un cadre euh
cefc-tcof-Carr_mar_06-50	et je suis très contente pour elle parce qu'elle le mérite quoi
cefc-tcof-Carr_mar_06-55	bon ben ouais elle vit que pour ça
cefc-tcof-Carr_mar_06-3	quoi hum
cefc-tcof-Carr_mar_06-46	il faut vraiment être un agent euh
cefc-tcof-Carr_mar_06-41	moi on m'a dit que j'étais bien trop jeune quoi
cefc-tcof-Carr_mar_06-67	tu vois c'est pas c'est pas comme si bon ben elle vient au boulot le matin hein
cefc-tcof-Carr_mar_06-90	et euh donc elle elle s'en est occupée pendant pff plus de dix ans
cefc-tcof-Carr_mar_06-83	elle a été bonne poire pendant plusieurs années parce qu'elle a
cefc-tcof-Carr_mar_06-104	elle a demandé le secrétariat général
cefc-tcof-Carr_mar_06-84	elle s'est occupée de la chasse de les plans de chasse
cefc-tcof-Carr_mar_06-118	eh ben exactement donc je trouve que c'est normal qu'elle soit nommée
cefc-tcof-Carr_mar_06-60	quoi hum
cefc-tcof-Carr_mar_06-4	et donc on doit tout savoir du ministère euh de la DRAF euh de la direction régionale
cefc-tcof-Carr_mar_06-85	alors c'est très compliqué c'est très conflictuel parce que c'est la chasse personne veut s'en occuper
cefc-tcof-Carr_mar_06-2	c'est plus sur notre profession sur ce qu'on fait euh tous les intervenants et les les tenants et les aboutissants de de ce qu'on fait
cefc-tcof-Carr_mar_06-13	c'est la même euh structure hiérarchique
cefc-tcof-Carr_mar_06-100	et donc elle elle devait faire des tas de d'arrêtés des tas de la paperasserie enfin en veux-tu en voila quoi
cefc-tcof-Carr_mar_06-110	et c'est plus elle elle était
cefc-tcof-Carr_mar_06-53	quoi ouais
