clips	text
cefc-valibel-acaCB1r-20	pour l'UCL l'académie Louvain doit continuer à viser une intégration plus grande des quatre institutions qui la composent sans gommer les différences entre elles
cefc-valibel-acaCB1r-24	Marshall par exemple a reposé sur une concertation de l'ensemble des universités
cefc-valibel-acaCB1r-53	et qui plus est d'un nombre d'étudiants comparé aux étudiants des aut
cefc-valibel-acaCB1r-34	devra trouver un juste équilibre entre d'une part le service de proximité qui doit concerner prioritairement le premier cycle
cefc-valibel-acaCB1r-12	et entreront en vigueur dès la rentrée académique deux-mille-sept
cefc-valibel-acaCB1r-31	ont révélé une convergence de vue des trois recteurs de Bruxelles de Liège et de l'UCL suite à leur analyse de l'évolution du paysage universitaire international
cefc-valibel-acaCB1r-49	si elles se situent près de la moyenne des pays de l'OCDE ne représentent même pas la moitié des mêmes dépenses aux Etats-Unis
cefc-valibel-acaCB1r-25	des relations suivies notamment recherche existent aussi avec les deux autres universités complètes
cefc-valibel-acaCB1r-15	et un projet similaire se dessine dans le domaine de l'économie avec la création prochaine d'une Louvain-school-of-economics
cefc-valibel-acaCB1r-28	avec la constitution de pôles d'excellence
cefc-valibel-acaCB1r-26	je suis convaincu que
cefc-valibel-acaCB1r-44	et nous pouvons très bien admettre que certaines aient pas à le faire
cefc-valibel-acaCB1r-16	ces premiers pas sont prometteurs
cefc-valibel-acaCB1r-45	ne pourront se contenter très longtemps du système et du niveau actuels de financement communauté française de Belgique sans entrer dans une querelle de chiffres
cefc-valibel-acaCB1r-27	la poursuite des objectifs européens
cefc-valibel-acaCB1r-3	et nous devons nous demander comment celui-ci va s'inscrire dans le projet européen lui-même pour l'UCL cet espace
cefc-valibel-acaCB1r-22	pour autant l'académie n'est pas l'unique horizon de l'UCL en communauté française
cefc-valibel-acaCB1r-9	en tenant compte à la fois de la nécessité de disposer de formations de proximité de l'exigence de qualité et de la volonté d'optimiser les ressources tout en réduisant les effets de concurrence entre les institutions concernées
cefc-valibel-acaCB1r-42	mais par ceux qui partagent la vision commune d'universités reconnues sur le plan international elles seront correctement comprises comme des investissements
cefc-valibel-acaCB1r-33	mais ce sont bien les neuf institutions universitaires de la communauté française qui sont face à leurs responsabilités la restructuration du paysage universitaire en communauté française
cefc-valibel-acaCB1r-32	il faudra poursuivre en ce sens
cefc-valibel-acaCB1r-37	les formations plus spécialisées de second et de troisième cycles
cefc-valibel-acaCB1r-47	les dépenses publiques par étudiant
cefc-valibel-acaCB1r-40	formations spécialisées et pôles de recherche devront faire l'objet de collaborations inter-universitaires parfois aussi de répartitions entre institutions
cefc-valibel-acaCB1r-8	c'est-à-dire une offre qui utilise au mieux les compétences de chacun
