clips	text	text_process	pictos	tokens
cefc-fleuron-V_Scol_endo_01_P11-17	la semaine prochaine	la semaine prochaine	[8476, 37732, 9829]	le semaine prochain
cefc-fleuron-V_Scol_endo_01_P11-9	donc je peux vraiment pas encaisser de d'argent	donc je peux vraiment pas encaisser de d'argent	[6632, 35949, 9185, 5526, 7074, 4630]	me pouvoir caisse non de argent
cefc-fleuron-V_Scol_endo_01_P11-19	vous pouvez pas régler autrement euh par carte bancaire par chèque	vous pouvez pas régler autrement euh par carte bancaire par chèque	[7304, 35949, 9014, 5526, 7212, 4751, 7212, 16605]	vous pouvoir transaction non par carte_bancaire par chèque
cefc-fleuron-V_Scol_endo_01_P11-3	je voulais payer en espèces	je voulais payer en espèces	[9839, 6632, 5441, 29070, 11709, 28833]	passé me vouloir payer au rendre_la_monnaie
cefc-fleuron-V_Scol_endo_01_P11-18	non plus je pourrais pas maintenant	non plus je pourrais pas maintenant	[6632, 35949, 5526, 32747]	me pouvoir non maintenant
cefc-fleuron-V_Scol_endo_01_P11-1	alors moi j'étais venue pour une demande toute simple	alors moi j'étais venue pour une demande toute simple	[6632, 9839, 6632, 32669, 7194, 8474, 7217, 5596, 32434]	me passé me venir pour une question tout facile
cefc-fleuron-V_Scol_endo_01_P11-26	ben ils m'ont dit que c'était seulement un chèque	ben ils m'ont dit que c'était seulement un chèque	[9839, 7032, 6632, 9693, 11351, 7095, 36480, 2627, 16605]	passé ils me dire que celui-là être un chèque
cefc-fleuron-V_Scol_endo_01_P11-21	par carte bancaire	par carte bancaire	[7212, 4751]	par carte_bancaire
cefc-fleuron-V_Scol_endo_01_P11-11	alors ce que je vous propose c'est de c'est de revenir euh demain	alors ce que je vous propose c'est de c'est de revenir euh demain	[7095, 11377, 6632, 7304, 11576, 7095, 36480, 7074, 7095, 36480, 7074, 6630, 38278]	celui-là alors_que me vous proposer celui-là être de celui-là être de retourner lendemain
cefc-fleuron-V_Scol_endo_01_P11-12_2	je peux pas	je peux pas	[6632, 35949, 5526]	me pouvoir non
